               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 115,            0.034479,            0.015167,           0.0011124,             0.94461,             0.82955,             0.85363,             0.59839,            0.032512,            0.013969,           0.0022183,           0.0098871,           0.0098871,           0.0098871
                 116,             0.02758,            0.014757,           0.0013369,             0.94503,             0.82955,              0.8483,             0.57743,            0.035421,            0.014761,           0.0020543,           0.0098861,           0.0098861,           0.0098861
                 117,            0.029737,            0.013296,           0.0010217,             0.92809,             0.82955,             0.85348,             0.54848,            0.031419,            0.014213,           0.0020453,           0.0098852,           0.0098852,           0.0098852
                 118,             0.02585,            0.013167,          0.00091648,             0.93536,             0.82955,             0.85709,             0.59135,            0.032868,            0.013798,           0.0016708,           0.0098842,           0.0098842,           0.0098842
                 119,            0.028147,            0.014419,          0.00086818,             0.97131,             0.82955,             0.85703,             0.55468,            0.031618,            0.013586,           0.0014862,           0.0098832,           0.0098832,           0.0098832
                 120,            0.025094,            0.015492,          0.00079323,             0.97743,             0.82955,              0.8536,             0.54274,            0.035972,            0.014636,           0.0014136,           0.0098822,           0.0098822,           0.0098822
                 121,            0.033086,            0.016527,          0.00084311,              0.9704,             0.82955,             0.85479,              0.5432,            0.034776,             0.01398,           0.0013806,           0.0098812,           0.0098812,           0.0098812
                 122,            0.031524,            0.015041,          0.00099863,             0.98005,             0.79924,             0.85648,             0.57838,            0.035427,            0.013981,           0.0016676,           0.0098802,           0.0098802,           0.0098802
                 123,            0.033454,            0.014927,           0.0010397,             0.96218,             0.79924,             0.85364,             0.58859,            0.036397,            0.014282,           0.0017296,           0.0098792,           0.0098792,           0.0098792
                 124,            0.029011,            0.015243,           0.0010574,             0.95245,             0.81681,             0.85565,              0.5493,             0.03577,            0.015444,           0.0015837,           0.0098782,           0.0098782,           0.0098782
                 125,            0.028841,            0.014116,           0.0013141,             0.95918,               0.829,             0.85582,             0.52382,            0.033839,            0.014833,           0.0016698,           0.0098772,           0.0098772,           0.0098772
                 126,            0.024738,            0.012557,          0.00095412,             0.93368,             0.82236,             0.84605,             0.58815,             0.03339,            0.015577,           0.0017094,           0.0098763,           0.0098763,           0.0098763
                 127,            0.033409,            0.014717,           0.0009979,             0.92058,             0.79924,              0.8247,             0.56834,            0.038236,            0.015933,           0.0016372,           0.0098753,           0.0098753,           0.0098753
                 128,            0.032118,            0.014752,            0.001176,             0.94111,             0.82849,             0.84637,              0.5588,            0.035359,            0.015758,           0.0024731,           0.0098743,           0.0098743,           0.0098743
                 129,            0.030421,            0.015021,           0.0011557,             0.94823,             0.82539,             0.84163,             0.54424,            0.032131,            0.015131,           0.0024551,           0.0098733,           0.0098733,           0.0098733
                 130,            0.024259,            0.013508,           0.0010613,             0.93669,             0.81439,             0.84026,             0.55812,            0.035896,            0.014993,            0.002527,           0.0098723,           0.0098723,           0.0098723
                 131,            0.030219,             0.01359,           0.0011338,             0.94742,              0.8289,             0.83969,             0.56326,            0.033485,            0.014603,           0.0025377,           0.0098713,           0.0098713,           0.0098713
                 132,            0.026946,            0.015518,           0.0016247,             0.93591,             0.82178,             0.84412,             0.52853,            0.032294,            0.014489,           0.0025649,           0.0098703,           0.0098703,           0.0098703
